epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4113.07,0.44061,0.52115,0.25838,0.78838,0,0.99665,0.99774,0.99487,0.94716,0.99631,0.9974,0.99486,0.79185,0.36187,0.50126,0.21193,0.76985,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4202.62,0.44039,0.52161,0.25701,0.78991,0,0.99432,0.99933,0.99491,0.94691,0.99365,0.99866,0.9949,0.79519,0.36391,0.50199,0.2123,0.77034,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4291.58,0.44216,0.51903,0.25516,0.78917,0,0.99668,0.99861,0.9949,0.94716,0.99627,0.99716,0.99489,0.79593,0.36457,0.50211,0.21138,0.76993,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4380.65,0.4401,0.51954,0.25492,0.78912,0,0.99651,0.99899,0.99485,0.9494,0.99583,0.99832,0.99485,0.79967,0.35492,0.49388,0.2097,0.76907,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4469.75,0.4357,0.51443,0.25375,0.78833,0,0.99587,0.99899,0.99493,0.9477,0.99553,0.99866,0.99492,0.79758,0.35885,0.49239,0.20879,0.76959,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4559.55,0.43327,0.51098,0.25065,0.78825,0,0.99538,0.99933,0.99484,0.95006,0.99504,0.99899,0.99483,0.79962,0.35531,0.4901,0.20682,0.76926,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4648.57,0.4338,0.51195,0.25135,0.78733,0,0.99671,0.99831,0.99493,0.94847,0.99604,0.99764,0.9949,0.79599,0.35718,0.49134,0.20817,0.76917,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4737.7,0.43206,0.50926,0.25033,0.7883,0,0.99642,0.99859,0.99493,0.9491,0.99608,0.99826,0.99493,0.79845,0.35668,0.48933,0.20767,0.76889,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4826.76,0.42851,0.50211,0.24992,0.7865,0,0.99483,0.99861,0.99495,0.95054,0.99675,0.99628,0.99494,0.79883,0.35266,0.48549,0.20547,0.76832,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4916.12,0.43093,0.50767,0.24963,0.78699,0,0.99496,0.99945,0.99492,0.94987,0.99429,0.99877,0.99491,0.80026,0.35272,0.48896,0.20508,0.76845,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5005.08,0.42436,0.50449,0.24649,0.7876,0,0.99554,0.99915,0.99493,0.95028,0.99488,0.99848,0.99491,0.79963,0.35107,0.4883,0.20438,0.76806,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5093.67,0.42569,0.50606,0.24615,0.7874,0,0.99567,0.99861,0.99491,0.95101,0.99501,0.99794,0.99489,0.80062,0.35137,0.48694,0.20234,0.76821,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5182.79,0.42441,0.49993,0.24425,0.78733,0,0.99558,0.99865,0.99493,0.95064,0.99491,0.99797,0.99492,0.79996,0.35183,0.4874,0.20332,0.76841,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5271.86,0.42158,0.49798,0.24363,0.78645,0,0.9951,0.99933,0.99492,0.95159,0.99443,0.99866,0.99491,0.79987,0.35046,0.48415,0.20254,0.7682,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5360.82,0.42156,0.50072,0.24305,0.7858,0,0.99482,0.99899,0.99493,0.95233,0.99381,0.99798,0.99492,0.79975,0.34963,0.48295,0.20137,0.76793,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5449.97,0.4196,0.49604,0.24177,0.78643,0,0.99647,0.99855,0.99493,0.95208,0.99571,0.99723,0.99493,0.80087,0.3476,0.48236,0.20106,0.76779,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5538.8,0.42058,0.49548,0.2419,0.78665,0,0.99554,0.99865,0.99492,0.95184,0.9952,0.99831,0.99492,0.80309,0.34726,0.48494,0.20021,0.7676,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5627.59,0.41929,0.49599,0.24116,0.78513,0,0.99536,0.99899,0.9949,0.95245,0.99469,0.99831,0.99488,0.80249,0.34674,0.4824,0.19975,0.76756,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5716.7,0.41615,0.48892,0.23931,0.78559,0,0.996,0.999,0.99483,0.95258,0.99566,0.99867,0.99482,0.80217,0.34565,0.47808,0.19983,0.76716,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5805.34,0.4141,0.48983,0.23725,0.78707,0,0.99596,0.99933,0.99485,0.95292,0.99562,0.99899,0.99485,0.80252,0.3441,0.47839,0.1982,0.76711,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5894.46,0.41385,0.48827,0.23718,0.78755,0,0.99597,0.99912,0.99486,0.95333,0.99564,0.99879,0.99486,0.80261,0.34322,0.47711,0.19731,0.76711,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5983.35,0.41407,0.48818,0.23569,0.78606,0,0.9958,0.99933,0.99484,0.9528,0.99547,0.99899,0.99483,0.80302,0.3433,0.47768,0.19725,0.76721,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6072.21,0.41129,0.48463,0.23474,0.78628,0,0.99585,0.99966,0.99489,0.95362,0.99551,0.99933,0.99489,0.8028,0.34228,0.47705,0.19582,0.76713,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6161.35,0.40885,0.48486,0.23283,0.78512,0,0.99573,0.99966,0.99488,0.95479,0.9954,0.99933,0.99488,0.80374,0.34299,0.47616,0.19558,0.76711,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6250.51,0.4072,0.48321,0.23221,0.78509,0,0.99658,0.99839,0.99492,0.95392,0.99625,0.99806,0.99491,0.80134,0.3427,0.47652,0.19527,0.76689,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6339.55,0.40661,0.48277,0.23092,0.78525,0,0.99551,0.99886,0.99491,0.95347,0.99551,0.99886,0.99491,0.80176,0.34383,0.47664,0.19492,0.76703,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6428.31,0.40612,0.48086,0.23008,0.785,0,0.99639,0.99831,0.99492,0.95369,0.99605,0.99798,0.99491,0.80424,0.34175,0.47602,0.1941,0.76662,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6517.6,0.40397,0.47537,0.2291,0.78441,0,0.99689,0.99797,0.99494,0.95387,0.99656,0.99764,0.99493,0.80394,0.34078,0.47412,0.19399,0.76648,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6606.57,0.40504,0.48103,0.22852,0.78534,0,0.9959,0.9988,0.99494,0.9536,0.9959,0.9988,0.99494,0.80225,0.34081,0.47373,0.19317,0.76642,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6695.55,0.40199,0.47913,0.22713,0.78553,0,0.99595,0.99854,0.99494,0.95386,0.99595,0.99854,0.99494,0.80453,0.34055,0.4738,0.19281,0.76643,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6784.5,0.4007,0.4763,0.22698,0.78363,0,0.99579,0.99898,0.99494,0.95426,0.99546,0.99864,0.99493,0.80504,0.33984,0.47216,0.19239,0.76623,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6873.43,0.39962,0.47467,0.22599,0.7839,0,0.99529,0.99966,0.99495,0.95432,0.99496,0.99933,0.99494,0.80531,0.33996,0.4716,0.19229,0.76616,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6962.41,0.39646,0.47144,0.22437,0.78358,0,0.99582,0.99932,0.99494,0.9544,0.99548,0.99899,0.99494,0.80621,0.33974,0.4713,0.19208,0.76623,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7051.75,0.40059,0.47201,0.22402,0.78472,0,0.99589,0.99925,0.99494,0.95417,0.99556,0.99891,0.99493,0.80761,0.33997,0.47079,0.19149,0.76604,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7141.12,0.39678,0.4704,0.22236,0.78451,0,0.99584,0.99929,0.99494,0.95468,0.99551,0.99895,0.99493,0.80702,0.3397,0.47036,0.19157,0.76597,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7230.2,0.3947,0.47096,0.22187,0.78271,0,0.99546,0.99932,0.99494,0.95433,0.99513,0.99899,0.99493,0.80668,0.3393,0.47033,0.19123,0.76587,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7319.59,0.39389,0.46483,0.21949,0.78402,0,0.99697,0.99803,0.99495,0.95448,0.99664,0.9977,0.99493,0.80536,0.33929,0.46961,0.19051,0.76593,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7409.29,0.39355,0.4663,0.21917,0.78416,0,0.99659,0.99801,0.99494,0.95478,0.99626,0.99768,0.99493,0.80547,0.33903,0.46958,0.19079,0.76586,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7498.71,0.38913,0.4619,0.2169,0.7822,0,0.9953,0.99899,0.99494,0.95482,0.99496,0.99865,0.99493,0.80602,0.33831,0.46991,0.1903,0.76594,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7587.81,0.39066,0.467,0.21793,0.78432,0,0.99534,0.99919,0.99494,0.95502,0.99501,0.99885,0.99493,0.80502,0.33741,0.46926,0.18985,0.7659,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7676.83,0.38678,0.45977,0.21617,0.78244,0,0.99538,0.99899,0.99494,0.95515,0.99472,0.99832,0.99492,0.80539,0.33675,0.46887,0.18873,0.76586,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7765.57,0.38873,0.46213,0.2161,0.78368,0,0.99538,0.99899,0.99493,0.9549,0.99472,0.99832,0.99492,0.80583,0.33635,0.46875,0.18879,0.76575,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7854.44,0.38747,0.46076,0.2149,0.78289,0,0.99527,0.99899,0.99494,0.95549,0.99461,0.99832,0.99492,0.8052,0.33656,0.46841,0.18864,0.76573,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7943.03,0.38619,0.46528,0.21272,0.78279,0,0.99533,0.99899,0.99494,0.95536,0.99467,0.99832,0.99493,0.80551,0.33643,0.46762,0.18884,0.76566,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8032.02,0.38353,0.45789,0.21269,0.78325,0,0.99539,0.99865,0.99494,0.95543,0.99473,0.99798,0.99493,0.80491,0.33627,0.46713,0.18844,0.76557,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8112.04,0.36628,0.45803,0.20008,0.77735,0,0.99539,0.99879,0.99494,0.95568,0.99473,0.99812,0.99492,0.80535,0.33627,0.46604,0.18884,0.7655,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8191.74,0.36286,0.46039,0.19759,0.7763,0,0.99534,0.99885,0.99495,0.95606,0.99468,0.99819,0.99493,0.8062,0.33601,0.46536,0.18852,0.76547,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8271.57,0.36036,0.45833,0.1952,0.77551,0,0.99513,0.9992,0.99495,0.95585,0.99446,0.99853,0.99493,0.80667,0.33567,0.46464,0.18797,0.76548,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8351.16,0.35904,0.45772,0.19351,0.77701,0,0.99518,0.99934,0.99495,0.95561,0.99484,0.99901,0.99495,0.80673,0.33563,0.4645,0.18794,0.76549,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8431.05,0.35664,0.45464,0.19278,0.77506,0,0.99517,0.99933,0.99495,0.9552,0.99484,0.999,0.99495,0.80628,0.33591,0.46429,0.18792,0.76543,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8510.72,0.3565,0.45263,0.19191,0.77614,0,0.9954,0.9991,0.99495,0.95622,0.99507,0.99876,0.99495,0.80612,0.3358,0.46401,0.18789,0.76542,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8590.6,0.35571,0.4531,0.18991,0.7744,0,0.99543,0.99911,0.99496,0.95563,0.9951,0.99878,0.99495,0.80568,0.33604,0.46407,0.18826,0.76536,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8670.35,0.35439,0.45127,0.18814,0.77532,0,0.99543,0.99912,0.99496,0.95581,0.9951,0.99878,0.99495,0.80612,0.33561,0.4639,0.18844,0.76535,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8749.92,0.3535,0.44775,0.18778,0.77653,0,0.99543,0.99911,0.99496,0.95541,0.9951,0.99877,0.99496,0.80657,0.33555,0.46379,0.18793,0.76533,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8829.5,0.3511,0.44931,0.18672,0.77439,0,0.99544,0.99912,0.99496,0.95556,0.99511,0.99879,0.99496,0.80637,0.33559,0.46358,0.18749,0.76533,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
